,Year,Magnitude,Location,Depth (km),MMI,Notes,Deaths,Injuries,Event,Date
0,1937,7.8,"Republic of China, Qinghai",15.0,VIII,-,0,0,[8],January 7
1,1938,8.5–8.6,"Dutch East Indies, Maluku offshore",60.0,VII,A damaging tsunami up to 1.5 meters high was reported across the Banda Sea region.,0,0,1938 Banda Sea earthquake,February 1
2,1939,8.1,"Dutch East Indies, Central Sulawesi offshore",150.0,VII,-,0,0,[9],December 21
3,1940,8.2,"Peru, Lima",45.0,VIII,A tsunami up to 2 meters high was generated without major damage.,179–300,3500,1940 Lima earthquake,May 24
4,1941,8.0,"Japan, Miyazaki offshore",35.0,VII,A tsunami up to 1.2 meters high was observed in Kyushu and Shikoku.,2,0,1941 Hyūga-nada earthquake,November 18
5,1942,8.2,"Peru, Ica",35.0,IX,"In Callao, the amplitude of the tsunami's oscillations was 1.6 meters.",30,25,1942 Peru earthquake,August 24
6,1943,7.9–8.2,"Chile, Coquimbo",35.0,VIII,A minor tsunami caused local damage along the coast.,11,0,1943 Ovalle earthquake,April 6
7,1944,8.0,"Japan, Wakayama offshore",30.0,VIII,A destructive tsunami which had a height of 10 meters caused severe damage in the Tōkai region.,1223,2135,1944 Tonankai earthquake,December 7
8,1945,8.1,"India, Balochistan offshore",15.0,X,A destructive 15-metre high tsunami was observed in the Makran Coast.,4000,0,1945 Balochistan earthquake,November 27
9,1946,8.6,"United States, Alaska offshore",15.0,VI,"Most of the casualties and damage occurred in Hawaii, where a 17-metre high tsunami was observed. At least five people also died in Unimak Island.",173,0,1946 Aleutian Islands earthquake,April 1
10,1947,7.6,"Dutch East Indies, Papua offshore",15.0,VI,-,0,0,[10],May 27
11,1947,7.6,"Peru, Junin",20.0,IX,Severe damage and landslides. Felt as far away as Lima.,2233,0,1947 Satipo earthquake,November 1
12,1948,7.8,"Philippines, Panay",15.0,X,Extensive damage. A 2-meter tsunami was also triggered.,50,0,1948 Lady Caycay earthquake,January 24
13,1949,8.0,"Canada, Haida Gwaii",10.0,VIII,Minor damage was reported and a 0.6 meter tsunami was triggered.,0,0,1949 Queen Charlotte Islands earthquake,August 22
14,1950,8.6,"India–China, Assam–Tibet border region",15.0,XI,This was the strongest earthquake ever recorded on land.,4800,0,1950 Assam–Tibet earthquake,August 15
15,1951,7.8,"Taiwan, East Rift Valley",30.0,VII,This was the strongest earthquake in a sequence of events.,85,1200,1951 East Rift Valley earthquakes,November 24
16,1952,9.0,"Soviet Union, Kamchatka",21.6,XI,"The death toll from this earthquake and resulting tsunami may be as high as 17,000.",2336,0,1952 Severo-Kurilsk earthquake,November 4
17,1953,7.9,"Japan, Yokohama",25.0,V,–,1,0,[11],November 25
18,1954,7.8,"Spain, Andalusia",626.2,IV,–,0,0,[12],March 29
19,1955,7.5,"New Zealand, Kermadec Islands",15.0,I,–,0,0,[13],February 27
20,1956,7.7,"Greece, Dodecanese Islands",20.0,IX,The earthquake triggered a 30 m (98 ft) high tsunami.,56,0,1956 Amorgos earthquake,July 9
21,1957,8.6,"United States, Aleutian Islands, Alaska",25.0,VIII,A 10 meter high tsunami led to most of the damage.,2,0,1957 Andreanof Islands earthquake,March 9
22,1958,8.3,"Soviet Union, Kuril Islands",35.0,IX[14],–,0,51,[15],November 6
23,1959,7.9,"Soviet Union, Kamchatka",55.0,VIII,A tsunami up to 2 m (6 ft 7 in) high occurred in the Aleutian Islands.,1,13,1959 Kamchatka earthquake,May 4
24,1960,9.5,"Chile, Valdivia",25.0,XII,This is the most powerful earthquake recorded since 1900. A tsunami up to 25 m (82 ft) high occurred.,6000,11000,1960 Valdivia earthquake,May 22
25,1961,7.6,"Peru, Madre de Dios Region",612.2,IV,–,0,0,[16],August 19
26,1962,7.5,Fiji offshore,390.0,I,–,0,0,[17],May 21
27,1963,8.5,"Soviet Union, Kuril Islands",35.0,IX,–,0,0,1963 Kuril Islands earthquake,October 13
28,1964,9.2,"Alaska, Prince William Sound",25.0,XI,"Most of the deaths were caused by a tsunami, which was the largest earthquake-produced tsunami ever recorded at a height of 67.0 m (219.8 ft). This is the second most powerful earthquake in modern times and the most powerful in North America.",131,0,1964 Alaska earthquake,March 27
29,1965,8.7,"Alaska, Aleutian Islands",30.3,VI[18],"A tsunami up to 10.7 m (35 ft) occurred, but caused little damage. This is the second most powerful earthquake in Alaska and the United States as a whole.",0,0,1965 Rat Islands earthquake,February 3
30,1966,8.1,"Peru, Arequipa",38.0,IX,A 3.4 m (11 ft) high tsunami occurred.,125,3000,1966 Peru earthquake,October 17
31,1967,7.4,"Turkey, Sakarya Province",30.0,X,–,86,0,1967 Mudurnu earthquake,July 22
32,1968,8.3,"Japan, Hokkaidō",26.0,VIII,A majority of the casualties were from a 6 m (20 ft) high tsunami.,52,330,1968 Tokachi earthquake,May 16
33,1969,8.2,"Soviet Union, Kuril Islands",30.0,VIII,–,0,0,[19],August 11
34,1970,8.0,"Colombia, Amazonas Department",644.8,IV,This was one of the most powerful deep-focus earthquakes ever recorded.,1,4,1970 Colombia earthquake,July 31
