Rank (2021) ,Rank (2020),Company ,Country ,Arms Sales (2021),Arms sales (2020),Total Sales (2021),Arms sales as a % of total sales (2021),Arms sales 2020 (constant 2021 prices)
1,1,Lockheed Martin Corp.,United States,60340,58210,67044,90,60704
2,2,Raytheon Technologies,United States,41850,36780,64388,65,38356
3,3,Boeing,United States,33420,32740,62286,54,34143
4,4,Northrop Grumman Corp.,United States,29880,30420,35667,84,31723
5,5,General Dynamics Corp.,United States,26390,25840,38469,69,26947
6,6,BAE Systems,United Kingdom,26020,24020,26851,97,26279
7,7,NORINCO,China,21570,17930,81607,26,19480
8,8,AVIC,China,20110,16980,80446,25,18447
9,9,CASC ,China,19100,16880,43408,44,18339
10,10,CETC ,China,14990,14610,55443,27,15873
11,13,CASIC ,China,14520,11870,46093,31,12896
12,14,Leonardo,Italy,13870,11160,16716,83,11802
13,11,L3Harris Technologies,United States,13360,14190,17814,75,14798
14,15,CSSC ,China,11130,9370,53208,21,10180
15,12,Airbus,Trans-European ,10850,11990,61671,18,12739
16,16,Thales,France,9770,9050,19149,51,9572
17,17,Huntington Ingalls Industries,United States,8570,8240,9524,90,8593
18,18,Leidos,United States,8030,7340,13737,58,7654
19,34,Dassault Aviation Group,France,6250,3720,8554,73,3934
20,22,CSGC,China,5910,5360,44363,13,5823
21,-,Peraton ,United States,5810,5570,7000,83,5809
22,21,Booz Allen Hamilton,United States,5600,5500,8364,67,5736
23,20,Honeywell International,United States,5150,5790,34392,15,6038
24,27,Safran,France,5050,4510,18043,28,4770
25,-,Amentum ,United States,5020,4660,6400,78,4860
26,24,Rolls-Royce,United Kingdom,4970,4870,15058,33,5328
27,32,MBDA,Trans-European ,4960,4050,5007,99,4303
28,30,Elbit Systems,Israel,4750,4240,5279,90,4587
29,33,Naval Group,France,4740,3750,4793,99,3966
30,23,United Aircraft Corp. ,Russia,4450,4880,6353,70,5066
31,29,Rheinmetall,Germany,4450,4240,6691,66,4525
32,31,CACI International,United States,4330,4190,6203,70,4370
33,26,General Electric,United States,4140,4570,74196,6,4766
34,38,Saab,Sweden,4090,3390,4566,90,3726
35,28,Mitsubishi Heavy Industries,Japan,4060,4420,35163,12,4289
36,35,United Shipbuilding Corp.,Russia,4020,3700,5091,79,3841
37,40,Tactical Missiles Corp.,Russia,3990,3250,4072,98,3374
38,37,Israel Aerospace Industries,Israel,3870,3510,4477,86,3797
39,39,Science Applications International Corp.,United States,3550,3320,7394,48,3462
40,42,KBR,United States,3530,3090,7339,48,3222
41,36,Textron,United States,3350,3530,12382,27,3681
42,43,Hindustan Aeronautics,India,3300,2970,3468,95,3092
43,45,Babcock International Group,United Kingdom,3100,2850,5642,55,3118
44,-,KNDS ,Trans-European ,3030,2600,3193,95,2762
45,47,Rafael,Israel,3010,2690,3075,98,2910
46,48,Fincantieri,Italy,2980,2660,8173,36,2813
47,49,CEA ,France,2940,2520,6565,45,2665
48,44,United Engine Corp. ,Russia,2910,2900,4222,69,3011
49,46,General Atomics ,United States,2810,2760,. .,. .,2878
50,52,Hanwha Aerospace,South Korea,2550,2250,5608,46,2370
51,51,Oshkosh Corp.,United States,2530,2260,7737,33,2357
52,55,Bechtel Corp. ,United States,2470,2170,17500,14,2263
53,54,TransDigm Group,United States,2400,2190,4798,50,2284
54,50,Kawasaki Heavy Industries,Japan,2400,2440,13671,18,2368
55,56,ThyssenKrupp,Germany,2390,2010,40226,6,2145
56,53,ASELSAN,Türkiye,2160,2200,2278,95,2038
57,60,ST Engineering,Singapore,2160,1890,5728,38,1966
58,58,ManTech International Corp.,United States,2080,1940,2554,81,2023
59,57,Jacobs Engineering Group,United States,2040,1990,14093,14,2075
60,64,NCSIST,Taiwan,1970,1690,2056,96,1811
61,62,Serco Group,United Kingdom,1870,1730,6414,29,1893
62,59,Sierra Nevada Corp. ,United States,1860,1920,2106,88,2002
63,69,Bharat Electronics,India,1830,1460,2038,90,1520
64,68,CNNC,China,1810,1470,38251,5,1597
65,61,Korea Aerospace Industries,South Korea,1800,1800,2228,81,1896
66,65,BWX Technologies,United States,1650,1670,2124,78,1742
67,-,Teledyne Technologies,United States,1640,1663,4614,36,1734
68,-,Vectrus,United States,1630,1590,1784,91,1658
69,79,Hensoldt,Germany,1610,1270,1743,92,1355
70,-,Eaton,United States,1600,1290,19628,8,1345
71,74,LIG Nex1,South Korea,1590,1360,1593,100,1433
72,82,QinetiQ,United Kingdom,1510,1240,1816,83,1357
73,76,Aerojet Rocketdyne,United States,1470,1330,2188,67,1387
74,63,Fluor Corp. ,United States,1430,1700,12435,12,1773
75,72,Parsons Corp.,United States,1430,1380,3661,39,1439
76,73,PGZ,Poland,1430,1370,1584,90,1445
77,77,Fujitsu ,Japan,1410,1320,32672,4,1281
78,80,Curtiss-Wright Corp.,United States,1380,1260,2506,55,1314
79,78,UkrOboronProm,Ukraine,1330,1320,1396,95,1447
80,99,CAE,Canada,1280,910,2688,48,1003
81,84,Moog,United States,1250,1200,2852,44,1251
82,86,Hanwha Corp.,South Korea,1240,1170,3441,36,1233
83,87,UralVagonZavod,Russia,1200,1110,2451,49,1152
84,107,Turkish Aerospace ,Türkiye,1200,800,1396,86,741
85,83,Russian Helicopters,Russia,1200,1210,2066,58,1256
86,91,Amphenol Corp.,United States,1200,1030,10876,11,1074
87,67,Melrose Industries,United Kingdom,1190,1470,10311,12,1608
88,101,Kongsberg Gruppen,Norway,1170,900,3194,37,1013
89,81,IHI Corp.,Japan,1160,1260,10684,11,1223
90,89,Ball Corp. ,United States,1090,1080,13811,8,1126
91,102,Navantia,Spain,1080,870,1544,70,924
92,94,The Aerospace Corp. ,United States,1030,1000,1160,89,1043
93,88,Pacific Architects and Engineers,United States,980,1090,2914,34,1137
94,96,ViaSat,United States,980,960,2787,35,1001
95,100,Mercury Systems,United States,960,910,988,97,949
96,93,Howmet Aerospace,United States,950,1020,4972,19,1064
